traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Forêt,22.348102614945834,138,0.011261628855883794,0.20411085877998003
Forêt,22.4682537042735,136,0.01109841684347968,0.20229012994975248
Forêt,22.588404793601164,136,0.01109841684347968,0.20229012994975248
Forêt,22.70855588292883,134,0.010935204831075566,0.2004500265706271
Forêt,22.828706972256498,133,0.01085359882487351,0.19952308176519506
Forêt,22.94885806158416,132,0.010771992818671455,0.19859074114344874
Forêt,23.06900915091183,132,0.010771992818671455,0.19859074114344874
Forêt,23.189160240239495,131,0.010690386812469397,0.19764921957223025
Forêt,23.30931132956716,130,0.010608780806267341,0.19670451272502912
Forêt,23.429462418894826,128,0.01044556879386323,0.1948005907030816
Forêt,23.549613508222492,127,0.010363962787661172,0.19384675759247158
Forêt,23.669764597550156,126,0.010282356781459116,0.1928861724151424
Forêt,23.789915686877823,125,0.01020075077525706,0.19191836918309585
Forêt,23.91006677620549,123,0.010037538762852946,0.1899760624899123
Lisière,0,10065,1,1
Lisière,0.03287980035885484,7823,0.7772478887232985,0.9962606580149219
Lisière,0.06575960071770968,6962,0.6917039244908098,0.9902222654978476
Lisière,0.09863940107656452,6342,0.6301043219076006,0.9829004623883333
Lisière,0.13151920143541937,5872,0.5834078489816195,0.9751043356857237
Lisière,0.16439900179427422,5439,0.5403874813710879,0.9658853076102881
Lisière,0.19727880215312904,5102,0.5069051167411823,0.9570596196085298
Lisière,0.2301586025119839,4798,0.4767014406358669,0.9476760310402621
Lisière,0.26303840287083874,4531,0.450173869846001,0.9381887666173394
Lisière,0.2959182032296936,4304,0.4276204669647293,0.9290159114536424
Lisière,0.32879800358854844,4104,0.4077496274217586,0.9199741932538945
Lisière,0.3616778039474033,3917,0.38917039244908097,0.9106046667414047
Lisière,0.3945576043062581,3726,0.37019374068554395,0.9001525055094592
Lisière,0.42743740466511293,3570,0.35469448584202684,0.890850249565922
Lisière,0.4603172050239678,3412,0.33899652260308,0.8807026011884496
Lisière,0.49319700538282263,3256,0.32349726775956283,0.8698957014272589
