"X","seuil","delta_1","n_switchers"
NA,0.551435014465824,-5.75195501148951,3
NA,0.456614735303447,-2.48446267813703,11
NA,0.453334156190977,-2.28662891536172,12
NA,0.572633401956409,-5.75195501148951,3
NA,0.102924682665616,-4.26587538385134,333
NA,0.24608773435466,-0.660607976087328,60
NA,0.0420595335308462,-3.18691484103504,1571
NA,0.327920719282702,-1.43722235931212,31
NA,0.544066024711356,-5.75195501148951,3
NA,0.28915973729454,-0.901308564007164,43
NA,0.147113647311926,-1.94941207894546,161
NA,0.0246136845089495,-1.47027490185523,2980
NA,0.477795971091837,-3.4438095297565,8
NA,0.216407935833558,-0.290181204452895,74
NA,0.318181007634848,-1.25839399816093,34
NA,0.231625785352662,-0.58073472190146,65
NA,0.142800022382289,-1.768442742192,173
NA,0.414546335814521,-1.99818101419158,16
NA,0.413724326295778,-1.99818101419158,16
NA,0.368845450924709,-1.30076659055234,21
NA,0.152444747742265,-2.32173384010701,142
NA,0.13880606344901,-1.68517492522319,180
NA,0.233034099452198,-0.58073472190146,65
NA,0.465962450252846,-2.69188383449135,10
NA,0.265972640365362,-0.857281048322381,53
NA,0.0458311666734517,-2.93705755037235,1366
NA,0.442200074205175,-2.28662891536172,12
NA,0.12189925997518,-1.19861814995614,227
NA,0.560947983758524,-5.75195501148951,3
NA,0.20653138961643,-0.291456049778537,81
NA,0.127531650243327,-1.07811729430626,210
NA,0.374462775886059,-1.30076659055234,21
NA,0.0948406609240919,-3.43777583843421,395
NA,0.383969637798145,-1.58773227425988,20
NA,0.27438364457339,-0.893528689203998,49
NA,0.448516341391951,-2.28662891536172,12
NA,0.439831687603146,-2.28662891536172,12
NA,0.000624773325398564,-8.61551864853954,10367
NA,0.475316574098542,-3.4438095297565,8
NA,0.220118885161355,-0.285331850892943,72
NA,0.379816537722945,-1.30076659055234,21
NA,0.351797909243032,-1.32440635265792,24
NA,0.111135424347594,-5.87347453941588,276
NA,0.243619472719729,-0.668712133794957,61
NA,0.417646779678762,-1.99818101419158,16
NA,0.102864644257352,-4.26587538385134,333
NA,0.434892741497606,-2.16022681025339,14
NA,0.175052650272846,-0.660620538691849,113
NA,0.130695691565052,-1.5387189799199,196
NA,0.343516472261399,-1.39820497209064,26
NA,0.320373242488131,-1.37646555372221,33
NA,0.187691119266674,-0.275277756511118,94
NA,0.0935949867125601,-3.66190853542357,403
